radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
    2032.244,    4338.756,      11.681,       9.462,       0.000,57823,   -0, 1045.678797,    0.000000,  273.121224,       0.000
    2090.154,    4280.846,      11.631,       9.417,       0.000,57823,   -0, 1031.454219,    0.000000,  268.641232,       0.000
    2148.064,    4222.936,      11.579,       9.371,       0.000,57823,   -0, 1016.886911,    0.000000,  264.029435,       0.000
    2205.974,    4165.026,      11.526,       9.324,       0.000,57823,   -0, 1001.980281,    0.000000,  259.338557,       0.000
    2263.885,    4107.115,      11.471,       9.275,       0.000,57823,   -0,  986.735661,    0.000000,  254.546869,       0.000
    2321.795,    4049.205,      11.415,       9.224,       0.000,57823,   -0,  971.154978,    0.000000,  249.551721,       0.000
    2379.705,    3991.295,      11.357,       9.171,       0.000,57823,   -0,  955.241838,    0.000000,  244.559791,       0.000
    2437.615,    3933.385,      11.298,       9.117,       0.000,57823,   -0,  938.999282,    0.000000,  239.384064,       0.000
    2495.526,    3875.474,      11.237,       9.060,       0.000,57823,   -0,  922.430638,    0.000000,  234.141208,       0.000
    2553.436,    3817.564,      11.173,       9.002,       0.000,57823,   -0,  905.544122,    0.000000,  228.753375,       0.000
    2611.346,    3759.654,      11.108,       8.943,       0.000,57823,   -0,  888.347294,    0.000000,  223.364957,       0.000
    2669.256,    3701.744,      11.041,       8.881,       0.000,57823,   -0,  870.842997,    0.000000,  217.903925,       0.000
    2727.167,    3643.833,      10.972,       8.817,       0.000,57823,   -0,  853.030818,    0.000000,  212.360369,       0.000
    2785.077,    3585.923,      10.901,       8.752,       0.000,57823,   -0,  834.915996,    0.000000,  206.711933,       0.000
    2842.987,    3528.013,      10.828,       8.684,       0.000,57823,   -0,  816.514628,    0.000000,  201.069709,       0.000
    2900.897,    3470.103,      10.752,       8.614,       0.000,57823,   -0,  797.857813,    0.000000,  195.301176,       0.000
    2958.808,    3412.192,      10.674,       8.543,       0.000,57823,   -0,  778.988359,    0.000000,  189.496182,       0.000
    3016.718,    3354.282,      10.592,       8.467,       0.000,57823,   -0,  759.319800,    0.000000,  183.606944,       0.000
    3074.628,    3296.372,      10.510,       8.390,       0.000,57823,   -0,  739.896170,    0.000000,  177.665103,       0.000
    3132.539,    3238.461,      10.427,       8.314,       0.000,57823,   -0,  720.759248,    0.000000,  171.696820,       0.000
    3190.449,    3180.551,      10.344,       8.237,       0.000,57823,   -0,  701.906606,    0.000000,  165.694316,       0.000
    3248.359,    3122.641,      10.261,       8.161,       0.000,57823,   -0,  683.331765,    0.000000,  159.638602,       0.000
