radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.015,      11.211,       3.633, 1278,   76, 1406.635554,  171.809000,  355.222875,       0.000
      31.320,    6339.680,      13.012,      11.209,       3.632, 1278,   76, 1405.946481,  171.644972,  355.205254,       0.000
      62.641,    6308.359,      13.010,      11.207,       3.631, 1278,   76, 1405.241866,  171.477217,  355.136388,       0.000
      93.962,    6277.038,      13.007,      11.205,       3.629, 1278,   76, 1404.522099,  171.305833,  355.020614,       0.000
     125.282,    6245.718,      13.004,      11.203,       3.628, 1278,   76, 1403.788276,  171.131091,  354.858325,       0.000
     156.603,    6214.397,      13.001,      11.200,       3.626, 1278,   76, 1403.041724,  170.953349,  354.649618,       0.000
     187.923,    6183.077,      12.998,      11.198,       3.625, 1278,   76, 1402.283929,  170.772973,  354.394549,       0.000
     219.244,    6151.756,      12.995,      11.196,       3.623, 1278,   76, 1401.516327,  170.590227,  354.093167,       0.000
     250.564,    6120.436,      12.992,      11.194,       3.622, 1278,   76, 1400.739792,  170.405225,  353.745523,       0.000
     281.885,    6089.115,      12.989,      11.192,       3.620, 1278,   76, 1399.943849,  170.215366,  353.351670,       0.000
     313.205,    6057.795,      12.985,      11.189,       3.618, 1278,   76, 1398.919016,  169.969248,  352.911670,       0.000
     344.526,    6026.474,      12.980,      11.185,       3.616, 1278,   76, 1397.791809,  169.697546,  352.425591,       0.000
     375.846,    5995.154,      12.976,      11.182,       3.613, 1278,   76, 1396.558468,  169.399927,  351.893508,       0.000
     407.167,    5963.833,      12.970,      11.178,       3.611, 1278,   76, 1395.215737,  169.076713,  351.315502,       0.000
     438.487,    5932.513,      12.964,      11.174,       3.608, 1278,   76, 1393.761898,  168.728254,  350.691662,       0.000
     469.808,    5901.192,      12.958,      11.170,       3.604, 1278,   76, 1392.197570,  168.354190,  350.022085,       0.000
     501.128,    5869.872,      12.952,      11.165,       3.601, 1278,   76, 1390.525911,  167.954318,  349.306872,       0.000
     532.449,    5838.551,      12.945,      11.160,       3.598, 1278,   76, 1388.746521,  167.529413,  348.546135,       0.000
     563.769,    5807.231,      12.937,      11.154,       3.594, 1278,   76, 1386.858067,  167.080547,  347.739990,       0.000
     595.090,    5775.910,      12.929,      11.149,       3.590, 1278,   76, 1384.861628,  166.608402,  346.888563,       0.000
     626.410,    5744.590,      12.921,      11.143,       3.586, 1278,   76, 1382.759849,  166.112896,  345.991985,       0.000
     657.731,    5713.269,      12.912,      11.136,       3.581, 1278,   76, 1380.553313,  165.593744,  345.050394,       0.000
     689.051,    5681.949,      12.903,      11.130,       3.577, 1278,   76, 1378.239464,  165.051157,  344.063936,       0.000
     720.372,    5650.628,      12.893,      11.123,       3.572, 1278,   76, 1375.815762,  164.484774,  343.032765,       0.000
     751.692,    5619.308,      12.883,      11.116,       3.567, 1278,   76, 1373.282056,  163.894346,  341.957040,       0.000
     783.013,    5587.987,      12.873,      11.108,       3.561, 1278,   76, 1370.639146,  163.279932,  340.836928,       0.000
     814.333,    5556.667,      12.862,      11.100,       3.556, 1278,   76, 1367.888293,  162.641878,  339.672604,       0.000
     845.654,    5525.346,      12.851,      11.092,       3.550, 1278,   76, 1365.030230,  161.980271,  338.464248,       0.000
     876.974,    5494.026,      12.839,      11.083,       3.544, 1278,   76, 1362.066969,  161.295408,  337.212049,       0.000
     908.295,    5462.705,      12.827,      11.074,       3.538, 1278,   76, 1359.000989,  160.588274,  335.916200,       0.000
     939.615,    5431.385,      12.814,      11.065,       3.532, 1278,   76, 1355.836461,  159.859945,  334.576905,       0.000
     970.936,    5400.064,      12.801,      11.055,       3.525, 1278,   76, 1352.447927,  159.081077,  333.194372,       0.000
    1002.256,    5368.744,      12.787,      11.046,       3.518, 1278,   76, 1349.045008,  158.299720,  331.768816,       0.000
    1033.577,    5337.423,      12.774,      11.036,       3.512, 1278,   76, 1345.637578,  157.518325,  330.300460,       0.000
    1064.897,    5306.103,      12.760,      11.026,       3.505, 1278,   76, 1342.225254,  156.736978,  328.789533,       0.000
    1096.218,    5274.782,      12.746,      11.016,       3.498, 1278,   76, 1338.806627,  155.955474,  327.236271,       0.000
    1127.539,    5243.461,      12.733,      11.006,       3.491, 1278,   76, 1335.380493,  155.173630,  325.640916,       0.000
    1158.859,    5212.141,      12.719,      10.996,       3.484, 1278,   76, 1331.945753,  154.391239,  324.003718,       0.000
    1190.179,    5180.820,      12.705,      10.992,       3.477, 1278,   76, 1330.292779,  153.608102,  322.324933,       0.000
    1221.500,    5149.500,      12.691,      10.982,       3.470, 1278,   76, 1326.842561,  152.824135,  320.604824,       0.000
    1221.500,    5149.500,      12.310,      10.080,       0.000,57823,   -0, 1250.935975,    0.000000,  320.602404,       0.000
    1279.410,    5091.590,      12.272,      10.048,       0.000,57823,   -0, 1239.006342,    0.000000,  318.299342,       0.000
    1337.321,    5033.680,      12.234,      10.015,       0.000,57823,   -0, 1227.077776,    0.000000,  316.273611,       0.000
