radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.105,      11.275,       3.679, 1328,  143, 1429.524161,  177.375468,  365.056426,       0.000
      31.320,    6339.680,      13.103,      11.273,       3.678, 1328,  143, 1428.833302,  177.203909,  365.038560,       0.000
      62.641,    6308.359,      13.100,      11.271,       3.676, 1328,  143, 1428.127638,  177.028678,  364.968739,       0.000
      93.962,    6277.038,      13.097,      11.269,       3.675, 1328,  143, 1427.407334,  176.849824,  364.851357,       0.000
     125.282,    6245.718,      13.094,      11.267,       3.673, 1328,  143, 1426.673268,  176.667599,  364.686815,       0.000
     156.603,    6214.397,      13.091,      11.265,       3.672, 1328,  143, 1425.926727,  176.482334,  364.475210,       0.000
     187.923,    6183.077,      13.088,      11.263,       3.670, 1328,  143, 1425.169250,  176.294408,  364.216600,       0.000
     219.244,    6151.756,      13.085,      11.261,       3.669, 1328,  143, 1424.402189,  176.104176,  363.911034,       0.000
     250.564,    6120.436,      13.082,      11.258,       3.667, 1328,  143, 1423.626528,  175.911906,  363.558562,       0.000
     281.885,    6089.115,      13.079,      11.256,       3.665, 1328,  143, 1422.832787,  175.715342,  363.159240,       0.000
     313.205,    6057.795,      13.075,      11.253,       3.663, 1328,  143, 1421.805633,  175.463088,  362.713130,       0.000
     344.526,    6026.474,      13.070,      11.250,       3.661, 1328,  143, 1420.670121,  175.186243,  362.220300,       0.000
     375.846,    5995.154,      13.066,      11.247,       3.659, 1328,  143, 1419.421579,  174.884169,  361.680825,       0.000
     407.167,    5963.833,      13.060,      11.243,       3.656, 1328,  143, 1418.059490,  174.556282,  361.094790,       0.000
     438.487,    5932.513,      13.054,      11.239,       3.653, 1328,  143, 1416.587195,  174.202556,  360.462282,       0.000
     469.808,    5901.192,      13.048,      11.234,       3.650, 1328,  143, 1415.007056,  173.822939,  359.783400,       0.000
     501.128,    5869.872,      13.042,      11.229,       3.647, 1328,  143, 1413.318996,  173.416943,  359.058248,       0.000
     532.449,    5838.551,      13.034,      11.224,       3.643, 1328,  143, 1411.523281,  172.984512,  358.286936,       0.000
     563.769,    5807.231,      13.027,      11.219,       3.639, 1328,  143, 1409.619011,  172.526646,  357.469583,       0.000
     595.090,    5775.910,      13.019,      11.213,       3.635, 1328,  143, 1407.604686,  172.043851,  356.606317,       0.000
     626.410,    5744.590,      13.011,      11.207,       3.631, 1328,  143, 1405.480054,  171.536504,  355.697268,       0.000
     657.731,    5713.269,      13.002,      11.201,       3.627, 1328,  143, 1403.244727,  171.004755,  354.742579,       0.000
     689.051,    5681.949,      12.993,      11.194,       3.622, 1328,  143, 1400.902808,  170.448411,  353.742395,       0.000
     720.372,    5650.628,      12.983,      11.187,       3.617, 1328,  143, 1398.456936,  169.867317,  352.696873,       0.000
     751.692,    5619.308,      12.973,      11.180,       3.612, 1328,  143, 1395.909327,  169.261952,  351.606173,       0.000
     783.013,    5587.987,      12.963,      11.173,       3.607, 1328,  143, 1393.260317,  168.631928,  350.470464,       0.000
     814.333,    5556.667,      12.952,      11.165,       3.601, 1328,  143, 1390.506216,  167.976411,  349.289923,       0.000
     845.654,    5525.346,      12.940,      11.157,       3.596, 1328,  143, 1387.642303,  167.295676,  348.064733,       0.000
     876.974,    5494.026,      12.929,      11.148,       3.590, 1328,  143, 1384.668053,  166.590891,  346.795082,       0.000
     908.295,    5462.705,      12.916,      11.139,       3.583, 1328,  143, 1381.585307,  165.862986,  345.481170,       0.000
     939.615,    5431.385,      12.904,      11.130,       3.577, 1328,  143, 1378.397213,  165.113095,  344.123198,       0.000
     970.936,    5400.064,      12.890,      11.120,       3.570, 1328,  143, 1374.975876,  164.311779,  342.721380,       0.000
    1002.256,    5368.744,      12.877,      11.111,       3.563, 1328,  143, 1371.540258,  163.508741,  341.275932,       0.000
