radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.130,      11.292,       3.691, 1349,  143, 1435.660047,  178.855727,  367.717513,       0.000
      31.320,    6339.680,      13.127,      11.290,       3.689, 1349,  143, 1434.961249,  178.686286,  367.699581,       0.000
      62.641,    6308.359,      13.124,      11.288,       3.688, 1349,  143, 1434.247408,  178.513183,  367.629501,       0.000
      93.962,    6277.038,      13.121,      11.286,       3.687, 1349,  143, 1433.518795,  178.336480,  367.511686,       0.000
     125.282,    6245.718,      13.118,      11.284,       3.685, 1349,  143, 1432.776328,  178.156437,  367.346534,       0.000
     156.603,    6214.397,      13.115,      11.282,       3.684, 1349,  143, 1432.021212,  177.973377,  367.134147,       0.000
     187.923,    6183.077,      13.112,      11.280,       3.682, 1349,  143, 1431.254841,  177.787672,  366.874581,       0.000
     219.244,    6151.756,      13.109,      11.278,       3.681, 1349,  143, 1430.478414,  177.599680,  366.567884,       0.000
     250.564,    6120.436,      13.106,      11.275,       3.679, 1349,  143, 1429.692669,  177.409673,  366.214108,       0.000
     281.885,    6089.115,      13.103,      11.273,       3.678, 1349,  143, 1428.887690,  177.215293,  365.813308,       0.000
     313.205,    6057.795,      13.099,      11.270,       3.676, 1349,  143, 1427.853101,  176.964512,  365.365547,       0.000
     344.526,    6026.474,      13.094,      11.267,       3.673, 1349,  143, 1426.715150,  176.688024,  364.870893,       0.000
     375.846,    5995.154,      13.090,      11.264,       3.671, 1349,  143, 1425.470377,  176.385086,  364.329423,       0.000
     407.167,    5963.833,      13.084,      11.260,       3.668, 1349,  143, 1424.115422,  176.055143,  363.741218,       0.000
     438.487,    5932.513,      13.078,      11.256,       3.665, 1349,  143, 1422.649427,  175.698384,  363.106369,       0.000
     469.808,    5901.192,      13.072,      11.251,       3.662, 1349,  143, 1421.072522,  175.315428,  362.424973,       0.000
     501.128,    5869.872,      13.066,      11.247,       3.659, 1349,  143, 1419.385328,  174.906953,  361.697135,       0.000
     532.449,    5838.551,      13.059,      11.241,       3.655, 1349,  143, 1417.588806,  174.472843,  360.922966,       0.000
     563.769,    5807.231,      13.051,      11.236,       3.651, 1349,  143, 1415.683633,  174.012756,  360.102586,       0.000
     595.090,    5775.910,      13.043,      11.230,       3.647, 1349,  143, 1413.669957,  173.526278,  359.236121,       0.000
     626.410,    5744.590,      13.035,      11.224,       3.643, 1349,  143, 1411.549883,  173.013514,  358.323704,       0.000
     657.731,    5713.269,      13.026,      11.218,       3.639, 1349,  143, 1409.323349,  172.474976,  357.365476,       0.000
