radius[km],depth[km],density[g/cm**3],vp[km/s],vs[km/s],qkappa,qmu,K[GPa],mu[GPa],pressure[GPa],temperature[K]
       0.000,    6371.000,      13.054,      11.239,       3.653, 1325,  113, 1416.517225,  174.200662,  359.429167,       0.000
      31.320,    6339.680,      13.051,      11.237,       3.652, 1325,  113, 1415.829006,  174.031382,  359.411441,       0.000
      62.641,    6308.359,      13.048,      11.235,       3.650, 1325,  113, 1415.125067,  173.858720,  359.342166,       0.000
      93.962,    6277.038,      13.046,      11.233,       3.649, 1325,  113, 1414.405767,  173.682773,  359.225704,       0.000
     125.282,    6245.718,      13.043,      11.231,       3.647, 1325,  113, 1413.672168,  173.503761,  359.062449,       0.000
     156.603,    6214.397,      13.040,      11.228,       3.646, 1325,  113, 1412.925570,  173.321939,  358.852502,       0.000
     187.923,    6183.077,      13.037,      11.226,       3.644, 1325,  113, 1412.167411,  173.137586,  358.595918,       0.000
     219.244,    6151.756,      13.034,      11.224,       3.643, 1325,  113, 1411.398991,  172.950908,  358.292745,       0.000
     250.564,    6120.436,      13.031,      11.222,       3.641, 1325,  113, 1410.621131,  172.761930,  357.943033,       0.000
     281.885,    6089.115,      13.028,      11.220,       3.640, 1325,  113, 1409.823532,  172.568148,  357.546839,       0.000
     313.205,    6057.795,      13.024,      11.217,       3.637, 1325,  113, 1408.791075,  172.320736,  357.104224,       0.000
     344.526,    6026.474,      13.019,      11.213,       3.635, 1325,  113, 1407.654021,  172.048992,  356.615255,       0.000
     375.846,    5995.154,      13.014,      11.210,       3.633, 1325,  113, 1406.410490,  171.752267,  356.080008,       0.000
     407.167,    5963.833,      13.009,      11.206,       3.630, 1325,  113, 1405.059174,  171.429662,  355.498564,       0.000
     438.487,    5932.513,      13.003,      11.202,       3.627, 1325,  113, 1403.598109,  171.081115,  354.871014,       0.000
     469.808,    5901.192,      12.997,      11.198,       3.624, 1325,  113, 1402.026121,  170.706839,  354.197453,       0.000
     501.128,    5869.872,      12.990,      11.193,       3.621, 1325,  113, 1400.344234,  170.307104,  353.477986,       0.000
     532.449,    5838.551,      12.983,      11.188,       3.617, 1325,  113, 1398.552898,  169.882042,  352.712722,       0.000
     563.769,    5807.231,      12.976,      11.182,       3.614, 1325,  113, 1396.653280,  169.431561,  351.901779,       0.000
     595.090,    5775.910,      12.968,      11.177,       3.610, 1325,  113, 1394.645800,  168.955372,  351.045284,       0.000
     626.410,    5744.590,      12.960,      11.171,       3.605, 1325,  113, 1392.530794,  168.454187,  350.143367,       0.000
     657.731,    5713.269,      12.951,      11.164,       3.601, 1325,  113, 1390.309862,  167.928729,  349.196169,       0.000
     689.051,    5681.949,      12.942,      11.158,       3.596, 1325,  113, 1387.984331,  167.378976,  348.203835,       0.000
     720.372,    5650.628,      12.932,      11.151,       3.591, 1325,  113, 1385.553419,  166.804921,  347.166520,       0.000
     751.692,    5619.308,      12.922,      11.143,       3.586, 1325,  113, 1383.017534,  166.206850,  346.084385,       0.000
     783.013,    5587.987,      12.912,      11.136,       3.581, 1325,  113, 1380.375879,  165.584922,  344.957596,       0.000
     814.333,    5556.667,      12.901,      11.128,       3.576, 1325,  113, 1377.625201,  164.939213,  343.786330,       0.000
     845.654,    5525.346,      12.889,      11.120,       3.570, 1325,  113, 1374.762791,  164.269583,  342.570767,       0.000
     876.974,    5494.026,      12.878,      11.111,       3.564, 1325,  113, 1371.790042,  163.575935,  341.311097,       0.000
     908.295,    5462.705,      12.865,      11.103,       3.558, 1325,  113, 1368.711827,  162.858979,  340.007516,       0.000
     939.615,    5431.385,      12.853,      11.093,       3.552, 1325,  113, 1365.534107,  162.119974,  338.660225,       0.000
     970.936,    5400.064,      12.839,      11.084,       3.545, 1325,  113, 1362.130049,  161.330587,  337.269436,       0.000
    1002.256,    5368.744,      12.826,      11.074,       3.538, 1325,  113, 1358.711474,  160.539824,  335.835365,       0.000
    1033.577,    5337.423,      12.812,      11.064,       3.531, 1325,  113, 1355.288680,  159.749630,  334.358234,       0.000
    1064.897,    5306.103,      12.798,      11.054,       3.524, 1325,  113, 1351.861061,  158.959773,  332.838275,       0.000
    1096.218,    5274.782,      12.785,      11.044,       3.517, 1325,  113, 1348.426915,  158.169865,  331.275723,       0.000
    1127.539,    5243.461,      12.771,      11.034,       3.510, 1325,  113, 1344.984864,  157.379612,  329.670824,       0.000
    1158.859,    5212.141,      12.757,      11.024,       3.504, 1325,  113, 1341.533663,  156.588785,  328.023828,       0.000
    1190.179,    5180.820,      12.743,      11.014,       3.497, 1325,  113, 1338.072142,  155.797225,  326.334991,       0.000
    1221.500,    5149.500,      12.729,      11.004,       3.490, 1325,  113, 1334.599844,  155.004919,  324.604578,       0.000
    1221.500,    5149.500,      12.315,      10.194,       0.000,57823,   -0, 1279.683684,    0.000000,  324.601844,       0.000
    1279.410,    5091.590,      12.277,      10.158,       0.000,57823,   -0, 1266.784037,    0.000000,  321.418294,       0.000
    1337.321,    5033.680,      12.239,      10.122,       0.000,57823,   -0, 1253.898089,    0.000000,  318.720820,       0.000
    1395.231,    4975.769,      12.201,      10.085,       0.000,57823,   -0, 1241.034003,    0.000000,  315.847087,       0.000
    1453.141,    4917.859,      12.162,      10.049,       0.000,57823,   -0, 1228.201073,    0.000000,  312.548694,       0.000
    1511.051,    4859.949,      12.124,      10.012,       0.000,57823,   -0, 1215.406872,    0.000000,  309.361164,       0.000
    1568.961,    4802.039,      12.085,       9.976,       0.000,57823,   -0, 1202.655701,    0.000000,  305.984470,       0.000
    1626.872,    4744.128,      12.046,       9.939,       0.000,57823,   -0, 1189.949340,    0.000000,  302.353158,       0.000
    1684.782,    4686.218,      12.007,       9.902,       0.000,57823,   -0, 1177.280682,    0.000000,  298.789364,       0.000
    1742.692,    4628.308,      11.968,       9.865,       0.000,57823,   -0, 1164.573947,    0.000000,  294.779596,       0.000
    1800.603,    4570.397,      11.925,       9.824,       0.000,57823,   -0, 1151.010224,    0.000000,  290.791832,       0.000
    1858.513,    4512.487,      11.882,       9.783,       0.000,57823,   -0, 1137.163561,    0.000000,  286.691732,       0.000
    1916.423,    4454.577,      11.836,       9.741,       0.000,57823,   -0, 1123.051872,    0.000000,  282.539088,       0.000
    1974.333,    4396.667,      11.790,       9.697,       0.000,57823,   -0, 1108.660559,    0.000000,  278.277248,       0.000
    2032.244,    4338.756,      11.741,       9.652,       0.000,57823,   -0, 1093.953394,    0.000000,  273.862605,       0.000
    2090.154,    4280.846,      11.692,       9.606,       0.000,57823,   -0, 1078.900747,    0.000000,  269.376320,       0.000
    2148.064,    4222.936,      11.640,       9.558,       0.000,57823,   -0, 1063.499323,    0.000000,  264.631475,       0.000
    2205.974,    4165.026,      11.587,       9.509,       0.000,57823,   -0, 1047.747149,    0.000000,  259.841406,       0.000
    2263.885,    4107.115,      11.533,       9.458,       0.000,57823,   -0, 1031.643343,    0.000000,  254.945121,       0.000
    2321.795,    4049.205,      11.477,       9.405,       0.000,57823,   -0, 1015.205403,    0.000000,  249.892723,       0.000
    2379.705,    3991.295,      11.419,       9.351,       0.000,57823,   -0,  998.451671,    0.000000,  244.815484,       0.000
    2437.615,    3933.385,      11.359,       9.295,       0.000,57823,   -0,  981.356260,    0.000000,  239.629018,       0.000
    2495.526,    3875.474,      11.298,       9.237,       0.000,57823,   -0,  963.888356,    0.000000,  234.451571,       0.000
    2553.436,    3817.564,      11.235,       9.176,       0.000,57823,   -0,  946.030633,    0.000000,  229.098641,       0.000
    2611.346,    3759.654,      11.170,       9.114,       0.000,57823,   -0,  927.778572,    0.000000,  223.671873,       0.000
    2669.256,    3701.744,      11.103,       9.049,       0.000,57823,   -0,  909.138847,    0.000000,  218.216491,       0.000
    2727.167,    3643.833,      11.035,       8.981,       0.000,57823,   -0,  890.134968,    0.000000,  212.669819,       0.000
    2785.077,    3585.923,      10.964,       8.912,       0.000,57823,   -0,  870.809234,    0.000000,  207.071467,       0.000
    2842.987,    3528.013,      10.892,       8.840,       0.000,57823,   -0,  851.208318,    0.000000,  201.344841,       0.000
    2900.897,    3470.103,      10.818,       8.767,       0.000,57823,   -0,  831.362834,    0.000000,  195.559337,       0.000
    2958.808,    3412.192,      10.741,       8.691,       0.000,57823,   -0,  811.305196,    0.000000,  189.659415,       0.000
    3016.718,    3354.282,      10.661,       8.610,       0.000,57823,   -0,  790.394834,    0.000000,  183.735623,       0.000
    3074.628,    3296.372,      10.580,       8.529,       0.000,57823,   -0,  769.732590,    0.000000,  177.814200,       0.000
    3132.539,    3238.461,      10.500,       8.448,       0.000,57823,   -0,  749.372543,    0.000000,  171.827354,       0.000
    3190.449,    3180.551,      10.418,       8.367,       0.000,57823,   -0,  729.317749,    0.000000,  165.802549,       0.000
    3248.359,    3122.641,      10.337,       8.285,       0.000,57823,   -0,  709.563962,    0.000000,  159.711378,       0.000
    3306.269,    3064.731,      10.256,       8.203,       0.000,57823,   -0,  690.105065,    0.000000,  153.616084,       0.000
    3364.180,    3006.820,      10.174,       8.121,       0.000,57823,   -0,  670.934002,    0.000000,  147.488486,       0.000
    3422.090,    2948.910,      10.092,       8.038,       0.000,57823,   -0,  652.046292,    0.000000,  141.384379,       0.000
    3480.000,    2891.000,      10.010,       7.955,       0.000,57823,   -0,  633.440649,    0.000000,  135.238330,       0.000
    3480.000,    2891.000,       5.546,      13.871,       7.464,57823,12000,  655.066245,  309.005990,  135.234523,    2612.734
    3485.014,    2885.986,       5.544,      13.864,       7.462,57823,11846,  654.098137,  308.657993,  134.937072,    2611.125
    3490.029,    2880.971,       5.541,      13.858,       7.459,57823,11694,  653.131842,  308.310006,  134.635713,    2609.519
    3495.043,    2875.957,       5.539,      13.852,       7.457,57823,11543,  652.167722,  307.962185,  134.351146,    2607.916
    3500.057,    2870.943,       5.536,      13.846,       7.454,57823,11394,  651.205487,  307.614484,  134.050573,    2606.317
    3505.071,    2865.929,       5.534,      13.840,       7.452,57823,11246,  650.244985,  307.266935,  133.731155,    2604.722
    3510.086,    2860.914,       5.531,      13.834,       7.449,57823,11099,  649.285803,  306.919502,  133.433321,    2603.130
    3515.100,    2855.900,       5.528,      13.828,       7.447,57823,10954,  648.328093,  306.572338,  133.136860,    2601.541
    3520.114,    2850.886,       5.526,      13.822,       7.444,57823,10810,  647.373496,  306.224993,  132.837712,    2599.956
    3525.129,    2845.871,       5.523,      13.816,       7.442,57823,10667,  646.431771,  305.876170,  132.540217,    2598.374
    3530.143,    2840.857,       5.521,      13.810,       7.439,57823,10525,  645.494087,  305.527393,  132.245700,    2596.796
    3535.157,    2835.843,       5.518,      13.804,       7.437,57823,10385,  644.558642,  305.178857,  131.953980,    2595.221
    3540.171,    2830.829,       5.516,      13.798,       7.434,57823,10247,  643.623859,  304.830732,  131.657571,    2593.650
    3545.186,    2825.814,       5.513,      13.792,       7.432,57823,10109,  642.688183,  304.483023,  131.359364,    2592.082
