0.0	3.626046959480023e11
10.0	3.626023286966298e11
20.0	3.625952105333528e11
30.0	3.625833793295275e11
40.0	3.625668258317165e11
50.0	3.625455138989647e11
60.0	3.6251947931130023e11
70.0	3.624887176845716e11
80.0	3.62453218974155e11
90.0	3.6241299028716626e11
100.0	3.623680306894696e11
110.0	3.623183443787621e11
120.0	3.622639250552244e11
130.0	3.622047814786214e11
140.0	3.621409076826512e11
150.0	3.6207231539551733e11
160.0	3.619989842602331e11
170.0	3.61920946085301e11
180.0	3.6183816132026196e11
190.0	3.617506630535345e11
200.0	3.6165845251504266e11
210.0	3.6156154708362366e11
220.0	3.614598676861847e11
230.0	3.613535024867626e11
240.0	3.6124242099095044e11
250.0	3.611266275621199e11
260.0	3.610061220411035e11
270.0	3.6088090765328076e11
280.0	3.607509877269677e11
290.0	3.606163622268464e11
300.0	3.6047703264401373e11
310.0	3.6033300296061566e11
320.0	3.601842759990807e11
330.0	3.600308404446074e11
340.0	3.598735361032233e11
350.0	3.597099226674241e11
360.0	3.595424236978986e11
370.0	3.593702336202663e11
380.0	3.5919336970933936e11
390.0	3.590115327483482e11
400.0	3.588256698447692e11
410.0	3.586346852535814e11
420.0	3.5843911313459033e11
430.0	3.582388631638564e11
440.0	3.5803395040764746e11
450.0	3.578243758254443e11
460.0	3.576101362554598e11
470.0	3.573912504026084e11
480.0	3.571677000645589e11
490.0	3.569395059797574e11
500.0	3.5670666374408154e11
510.0	3.5646917480945496e11
520.0	3.5622707087325e11
530.0	3.559802963824371e11
540.0	3.5572891178793024e11
550.0	3.554728828499578e11
560.0	3.5521223053770416e11
570.0	3.5494697514107935e11
580.0	3.5467709104371014e11
590.0	3.5440261007614307e11
600.0	3.541235266499465e11
610.0	3.538398354706287e11
620.0	3.5355156680515753e11
630.0	3.532586621190293e11
640.0	3.529611836712255e11
650.0	3.526591223358661e11
660.0	3.5235247039242444e11
670.0	3.520412484877493e11
680.0	3.517254532616844e11
690.0	3.514050917773171e11
700.0	3.5108016807939996e11
710.0	3.50750690869433e11
720.0	3.5041665982247546e11
730.0	3.500780839626992e11
740.0	3.4973523025946436e11
750.0	3.493873146567631e11
760.0	3.4903512826204376e11
770.0	3.4867842166190247e11
780.0	3.483171934411569e11
790.0	3.479514593942213e11
800.0	3.4758120635236255e11
810.0	3.4720645464134125e11
820.0	3.4682721440522095e11
830.0	3.4644345886234595e11
840.0	3.4605524126379694e11
850.0	3.4566254375506824e11
860.0	3.4526536853995966e11
870.0	3.448637223614155e11
880.0	3.4445762257532544e11
890.0	3.4404706443892737e11
900.0	3.4363206288942834e11
910.0	3.4321261670991e11
920.0	3.427885518879233e11
930.0	3.423604265860039e11
940.0	3.4192770017624133e11
950.0	3.4149055511585803e11
960.0	3.410490011777204e11
970.0	3.4060304715856415e11
980.0	3.401527284102427e11
990.0	3.396979968304481e11
1000.0	3.39238848719351e11
1010.0	3.3877535408145624e11
1020.0	3.383074980732228e11
1030.0	3.3783527441275836e11
1040.0	3.373587100900749e11
1050.0	3.368778016713085e11
1060.0	3.363925403821581e11
1070.0	3.359029586988285e11
1080.0	3.354090556403409e11
1090.0	3.3491056687072034e11
1100.0	3.344083212307534e11
1110.0	3.3390148676445593e11
1120.0	3.33390372539371e11
1130.0	3.3287497261285095e11
1140.0	3.323553023865413e11
1150.0	3.318313623795418e11
1160.0	3.313031605503345e11
1170.0	3.307707131018703e11
1180.0	3.3023402042906165e11
1190.0	3.2969308379200354e11
1200.0	3.291479264663374e11
1210.0	3.285985528545982e11
1220.0	3.280511487870573e11
1230.0	3.275033850420486e11
1240.0	3.2698247865427856e11
1250.0	3.2644311310741376e11
1260.0	3.2590038963690564e11
1270.0	3.253539974934916e11
1280.0	3.2480426045400586e11
1290.0	3.2425108457920166e11
1300.0	3.2369447077688727e11
1310.0	3.231344369551372e11
1320.0	3.225709325321924e11
1330.0	3.220040162717102e11
1340.0	3.2143366389487427e11
1350.0	3.208598719437824e11
1360.0	3.2028266046017053e11
1370.0	3.197020043983369e11
1380.0	3.1911793358458716e11
1390.0	3.1853044196036774e11
1400.0	3.1793952072449677e11
1410.0	3.1734518961217365e11
1420.0	3.167474380281782e11
1430.0	3.161463699340901e11
1440.0	3.1554175309713855e11
1450.0	3.149338340859417e11
1460.0	3.1432252942199207e11
1470.0	3.137078573082125e11
1480.0	3.1308978287950726e11
1490.0	3.1246831804314655e11
1500.0	3.118434388391723e11
1510.0	3.11215164611278e11
1520.0	3.105835002188555e11
1530.0	3.0994845526214526e11
1540.0	3.093100476058934e11
1550.0	3.086682890314768e11
1560.0	3.080231808025396e11
1570.0	3.0737472019702814e11
1580.0	3.0672292630163086e11
1590.0	3.0606780741388525e11
1600.0	3.0540935561189905e11
1610.0	3.0474762434097943e11
1620.0	3.040825367398561e11
1630.0	3.034141618475465e11
1640.0	3.027424806784986e11
1650.0	3.0206750431391095e11
1660.0	3.013892323606931e11
1670.0	3.0070770303728394e11
1680.0	3.000228399041576e11
1690.0	2.9933475621984705e11
1700.0	2.986434033924983e11
1710.0	2.979485942432904e11
1720.0	2.972509618676138e11
1730.0	2.965498843445788e11
1740.0	2.958455859390759e11
1750.0	2.951380733837116e11
1760.0	2.9442735137876483e11
1770.0	2.9371342456282587e11
1780.0	2.929963090805951e11
1790.0	2.922760124300826e11
1800.0	2.915525427745833e11
1810.0	2.908259064566944e11
1820.0	2.900961169759777e11
1830.0	2.8936316936512036e11
1840.0	2.8862708906050024e11
1850.0	2.8788788558650305e11
1860.0	2.871455594988929e11
1870.0	2.864001191842678e11
